EmployeeId,FirstName,MiddleName,LastName,Initials,Sex,Language,PhoneNumber,EmailAddress,LoginName,AddressId,StartDate,EndDate,Currency,SalaryAmount,AccountNumber,BankId,BankName,EmployeePicURL,ManagerId,OrgUnitId
"0000000019","Jonathan",,"East",,"M","E",,"jonathan.east@itelo.info","EASTJ","1000000020","2000-01-01","9999-12-31","USD","55427.00","6655443322","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_12_EastJ.jpg","0000000022","0000000003"
"0000000022","Anna",,"Lerch",,"F","E",,"anna.lerch@itelo.info","LERCHA","1000000023","2000-01-01","9999-12-31","USD","58768.00","5566778899","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_5_LerchA.jpg","0000000023","0000000002"
"0000000023","Clark",,"Kent",,"M","E",,"clark.kent@itelo.info","KENTC","1000000024","2000-01-01","9999-12-31","USD","57000.00","3344556677","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_18_KentC.jpg",,"0000000001"
"0000000024","Catherine",,"Jones",,"F","E",,"catherine.jones@itelo.info","JONESC","1000000025","2000-01-01","9999-12-31","USD","59000.00","4455667788","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_12_JonesC.jpg","0000000023","0000000020"
"0000000025","Peter",,"Douglas",,"M","E",,"peter.douglas@itelo.info","DOUGLASP","1000000026","2000-01-01","9999-12-31","USD","1500000.00","666777888","0510000655","My Bank of Antioch","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_8_DouglasP.jpg","0000000024","0000000020"
"0000000026","Frank",,"Brown",,"M","E",,"frank.brown@itelo.info","BROWNF","1000000027","2000-01-01","9999-12-31","USD","53021.00","6677889900","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_17_BrownF.jpg","0000000024","0000000020"
"0000000027","Barbara",,"Ingalls",,"F","E",,"barbara.ingalls@itelo.info","INGALLSB","1000000028","2000-01-01","9999-12-31","USD","63443.00","4433221100","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_3_IngallsB.jpg","0000000024","0000000020"
"0000000029","Mary",,"Watson",,"F","E",,"mary.watson@itelo.info","WATSONM","1000000030","2000-01-01","9999-12-31","USD","64222.00","43210987","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_13_WatsonM.jpg","0000000023","0000000016"
"0000000030","Karl",,"Kessler",,"M","E",,"karl.kessler@itelo.info","KESSLERK","1000000031","2000-01-01","9999-12-31","USD","97455.00","7788990011","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_21_KesslerK.jpg","0000000023","0000000017"
"0000000031","Nora",,"Dwyer",,"F","E",,"nora.dwyer@itelo.info","DWYERN","1000000032","2000-01-01","9999-12-31","USD","50000.00","0013M02606","0000010100","établissement financier de Paris","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_14_DwyerN.jpg","0000000023","0000000018"
"0000000032","Richard",,"Fisher",,"F","E",,"fisher.richard@itelo.info","FISHERR","1000000033","2000-01-01","9999-12-31","EUR","67234.00","567890123","0099999888","Deutsches Geldinstitut","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_25_FisherR.jpg","0000000023","0000000019"
"0000000010","Michael",,"Miller",,"M","E",,"michael.miller@itelo.info","DMM161_MILLERM","1000000011","2000-01-01","9999-12-31","USD","86574.00","76543210","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_9_MillerM.jpg","0000000022","0000000014"
"0000000003","Franco",,"Fall",,"M","E",,"franco.fall@itelo.info","DMM161_FALLF","1000000004","2000-01-01","9999-12-31","USD","85962.00","8877665544","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_2_FallF.jpg","0000000011","0000000013"
"0000000004","Walter",,"Winter",,"M","E",,"walter.winter@itelo.info","DMM161_WINTERW","1000000005","2000-01-01","9999-12-31","USD","68597.00","7766554433","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_1_WinterW.jpg","0000000011","0000000013"
"0000000007","Viola","Sarah","Gains",,"F","E","+1 224 374 522","viola.gains@itelo.info","DMM161_GAINSV","1000000008","2000-01-01","9999-12-31","USD","110962.00","222333444","0510000655","My Bank of Antioch","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_2_GainsV.jpg","0000000011","0000000013"
